index,review_index,study_id,study_name
533,150,STD-Kola-2020,Kola 2020
534,150,STD-Murphy-2015,Murphy 2015
535,150,STD-Nielsen-2014,Nielsen 2014
536,150,STD-Palmieri-2017,Palmieri 2017
537,151,STD-Zimmermann-2020,Zimmermann 2020
538,152,STD-Nayeri-2015,Nayeri 2015
539,152,STD-Zimmermann-2020,Zimmermann 2020
540,153,STD-Dale-1995,Dale 1995
541,153,STD-Murphy-1996,Murphy 1996
542,154,STD-Cross-2012,Cross 2012
543,154,STD-Halimi-2008,Halimi 2008
544,154,STD-King-2009,King 2009
545,154,STD-McCarrier-2009,McCarrier 2009
546,154,STD-Meyer-2008,Meyer 2008
547,154,STD-Nguyen-2008,Nguyen 2008
548,154,STD-Ralston-2009,Ralston 2009
549,154,STD-Scherr-2009,Scherr 2009
550,154,STD-Seto-2012,Seto 2012
551,154,STD-Stone-2010,Stone 2010
552,154,STD-Van-der-Meer-2010,Van der Meer 2010
553,154,STD-Wallace-2002,Wallace 2002
554,154,STD-Weintraub-2010,Weintraub 2010
555,154,STD-Willems-2008,Willems 2008
556,155,STD-Castro-2008,Castro 2008
557,156,STD-Dmitrovic-2012,Dmitrovic 2012
558,156,STD-Jaisamrarn-2018,Jaisamrarn 2018
559,157,STD-Abdelmaeboud-2014,Abdelmaeboud 2014
560,157,STD-Akbari-2012,Akbari 2012
561,157,STD-Heidarifar-2014,Heidarifar 2014
562,158,STD-BDIT-Pilot-Studies-1996,BDIT Pilot Studies 1996
563,158,STD-Sydney-Diet_x002d_Heart-1978,Sydney Diet_x002d_Heart 1978
564,159,STD-Manegold-2003,Manegold 2003
565,160,STD-Brunner-2011,Brunner 2011
566,160,STD-Lin-2009,Lin 2009
567,161,STD-MRC-LU11,MRC LU11
568,162,STD-MRC-1991,MRC 1991
569,162,STD-MRC-1992,MRC 1992
570,162,STD-MRC-1996,MRC 1996
571,162,STD-Senkus_x002d_Konefka-2005,Senkus_x002d_Konefka 2005
572,163,STD-Anema-2007,Anema 2007
573,163,STD-Jensen-2011,Jensen 2011
574,164,STD-FACS-2014,FACS 2014
575,164,STD-ONCOLINK,ONCOLINK
576,164,STD-Sobhani-2008,Sobhani 2008
577,164,STD-Sobhani-2018,Sobhani 2018
578,164,STD-SurvivorCare-2013,SurvivorCare 2013
579,164,STD-Treasure-2014,Treasure 2014
580,164,STD-Wattchow-2006,Wattchow 2006
581,165,STD-BABY-HUG-2011,BABY HUG 2011
582,165,STD-NOHARM-2017,NOHARM 2017
583,165,STD-SCATE-2015,SCATE 2015
584,165,STD-SWiTCH-2012,SWiTCH 2012
585,165,STD-TWiTCH-2016,TWiTCH 2016
586,166,STD-Helitzer-2011,Helitzer 2011
587,166,STD-Janson-2009,Janson 2009
588,166,STD-Strasser-2008,Strasser 2008
589,167,STD-EPHT-2006,EPHT 2006
590,168,STD-Thwaites-2004,Thwaites 2004
591,169,STD-Esmaeilzadeh-2011,Esmaeilzadeh 2011
592,170,STD-Van-den-Broek-2009,Van den Broek 2009
593,171,STD-Doherty-2012,Doherty 2012
594,171,STD-Eldaba-2015,Eldaba 2015
595,171,STD-Jabalameli-2011,Jabalameli 2011
596,171,STD-Singh-2016,Singh 2016
597,172,STD-Australia-1985a,Australia 1985a
598,173,STD-Dehbashi-2016,Dehbashi 2016
